legId,searchDate,flightDate,startingAirport,destinationAirport,fareBasisCode,travelDuration,elapsedDays,isBasicEconomy,isRefundable,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
c86d35f9c18f519dd86e9b901e495af7,4/16/2022,4/17/2022,ATL,EWR,G0AJZSN1,PT7H40M,0,FALSE,FALSE,FALSE,171.16,207.6,7,2105,1650219600||1650235020,2022-04-17T14:20:00.000-04:00||2022-04-17T17:37:00.000-05:00,1650228660||1650247200,2022-04-17T15:51:00.000-05:00||2022-04-17T22:00:00.000-04:00,DFW||EWR,ATL||DFW,American Airlines||American Airlines,AA||AA,Airbus A321||Boeing 737-800,9060||12180,725||1380,coach||coach
29d25956ad14daccf128c00eb2195798,4/16/2022,4/17/2022,ATL,EWR,G0AJZSN1,PT8H36M,0,FALSE,FALSE,FALSE,171.16,207.6,7,2105,1650189900||1650208560,2022-04-17T06:05:00.000-04:00||2022-04-17T10:16:00.000-05:00,1650198480||1650220860,2022-04-17T07:28:00.000-05:00||2022-04-17T14:41:00.000-04:00,DFW||EWR,ATL||DFW,American Airlines||American Airlines,AA||AA,Airbus A321||Airbus A321,8580||12300,725||1380,coach||coach
cdb3ad6a0c5322c4d59e2a9ee054009e,4/16/2022,4/17/2022,ATL,EWR,G0AJZSN1,PT9H8M,0,FALSE,FALSE,FALSE,171.16,207.6,7,2105,1650219600||1650240180,2022-04-17T14:20:00.000-04:00||2022-04-17T19:03:00.000-05:00,1650228660||1650252480,2022-04-17T15:51:00.000-05:00||2022-04-17T23:28:00.000-04:00,DFW||EWR,ATL||DFW,American Airlines||American Airlines,AA||AA,Airbus A321||Airbus A321,9060||12300,725||1380,coach||coach
5597a000c9020f50e2efaf2cfa2b4727,4/16/2022,4/17/2022,ATL,EWR,G0AJZSN1,PT9H29M,0,FALSE,FALSE,FALSE,171.16,207.6,7,2105,1650213060||1650235020,2022-04-17T12:31:00.000-04:00||2022-04-17T17:37:00.000-05:00,1650222000||1650247200,2022-04-17T14:00:00.000-05:00||2022-04-17T22:00:00.000-04:00,DFW||EWR,ATL||DFW,American Airlines||American Airlines,AA||AA,Airbus A321||Boeing 737-800,8940||12180,725||1380,coach||coach
c357349d30bee266c05268d425782aca,4/16/2022,4/17/2022,ATL,EWR,WAA0AHBN,PT6H2M,0,TRUE,FALSE,FALSE,175.81,212.6,6,1320,1650190200||1650204180,2022-04-17T06:10:00.000-04:00||2022-04-17T09:03:00.000-05:00,1650198000||1650211920,2022-04-17T07:20:00.000-05:00||2022-04-17T12:12:00.000-04:00,ORD||EWR,ATL||ORD,United||United,UA||UA,Embraer 175 (Enhanced Winglets)||Airbus A319,7800||7740,600||720,coach||coach
e5b348ec4c2ded761c1861d3081ba542,4/16/2022,4/17/2022,ATL,EWR,KC0QBEY5,PT2H9M,0,FALSE,FALSE,TRUE,199.07,228.6,7,762,1650195000,2022-04-17T07:30:00.000-04:00,1650202740,2022-04-17T09:39:00.000-04:00,EWR,ATL,American Airlines,AA,Embraer 190,7740,762,coach
54ab610c7ef547e39550f44ad31a668c,4/16/2022,4/17/2022,ATL,EWR,QAA0JHES,PT2H18M,0,FALSE,FALSE,TRUE,222.33,253.61,1,762,1650209100,2022-04-17T11:25:00.000-04:00,1650217380,2022-04-17T13:43:00.000-04:00,EWR,ATL,United,UA,Embraer 175 (Enhanced Winglets),8280,762,coach
b27b8271901130f0df9b0f892b5da4bc,4/16/2022,4/17/2022,ATL,EWR,QAA0JHES,PT2H19M,0,FALSE,FALSE,TRUE,222.33,253.61,1,762,1650217680,2022-04-17T13:48:00.000-04:00,1650226020,2022-04-17T16:07:00.000-04:00,EWR,ATL,United,UA,Embraer 170,8340,762,coach
6282a1ee4ec3dd115623178417c7d26c,4/16/2022,4/17/2022,ATL,EWR,QAA0JHES,PT2H23M,0,FALSE,FALSE,TRUE,222.33,253.61,2,762,1650231840,2022-04-17T17:44:00.000-04:00,1650240420,2022-04-17T20:07:00.000-04:00,EWR,ATL,United,UA,Boeing 737-700,8580,762,coach
c0196d6b85256031ecb1a1f02149a3df,4/16/2022,4/17/2022,ATL,EWR,QAA0JHES,PT2H35M,0,FALSE,FALSE,TRUE,222.33,253.61,1,762,1650222480,2022-04-17T15:08:00.000-04:00,1650231780,2022-04-17T17:43:00.000-04:00,EWR,ATL,United,UA,Embraer 170,9300,762,coach
2cf92d63d889eaabae293874c52fc7c6,4/16/2022,4/17/2022,ATL,EWR,QAA0JHES,PT4H34M,0,FALSE,FALSE,FALSE,222.33,262.61,1,762,1650187800||1650199500,2022-04-17T05:30:00.000-04:00||2022-04-17T08:45:00.000-04:00,1650194280||1650204240,2022-04-17T07:18:00.000-04:00||2022-04-17T10:04:00.000-04:00,IAD||EWR,ATL||IAD,United||United,UA||UA,Airbus A319||Boeing 767-300,6480||4740,541||221,coach||coach
d81818f55a51b6e9c9924195e637aef1,4/16/2022,4/17/2022,ATL,EWR,QA0OX0MC,PT2H5M,0,FALSE,FALSE,TRUE,245.58,278.6,5,762,1650207900,2022-04-17T11:05:00.000-04:00,1650215400,2022-04-17T13:10:00.000-04:00,EWR,ATL,Delta,DL,Boeing 737-800,7500,762,coach
cfea9da52b84b17350560c1a0388de82,4/16/2022,4/17/2022,ATL,EWR,QA0OX0MC,PT2H6M,0,FALSE,FALSE,TRUE,245.58,278.6,9,762,1650235620,2022-04-17T18:47:00.000-04:00,1650243180,2022-04-17T20:53:00.000-04:00,EWR,ATL,Delta,DL,Boeing 737-800,7560,762,coach
c78f6de50bb7a2bddacf56b17755ad5d,4/16/2022,4/17/2022,ATL,EWR,L0AHZNN1,PT3H56M,0,FALSE,FALSE,FALSE,264.19,306.1,1,773,1650226680||1650234120,2022-04-17T16:18:00.000-04:00||2022-04-17T18:22:00.000-04:00,1650230760||1650240840,2022-04-17T17:26:00.000-04:00||2022-04-17T20:14:00.000-04:00,CLT||EWR,ATL||CLT,American Airlines||American Airlines,AA||AA,Airbus A319||Boeing 737-800,4080||6720,228||545,coach||coach
900caf7c0c99b517e5b743d7d60618e0,4/16/2022,4/17/2022,ATL,EWR,L0AHZNN1,PT3H58M,0,FALSE,FALSE,FALSE,264.19,306.1,1,773,1650233700||1650241620,2022-04-17T18:15:00.000-04:00||2022-04-17T20:27:00.000-04:00,1650238620||1650247980,2022-04-17T19:37:00.000-04:00||2022-04-17T22:13:00.000-04:00,CLT||EWR,ATL||CLT,American Airlines||American Airlines,AA||AA,Canadian Regional Jet 700||Airbus A321,4920||6360,228||545,coach||coach
